id,time,lat,long
272620,2012-01-01T20:00:19,5.13586,88.3482
272619,2012-01-01T20:00:19,6.01805,70.792
272618,2012-01-01T20:00:19,-51.6852,139.894
272623,2012-01-01T20:00:19,47.7128,186.25
272622,2012-01-01T20:00:19,46.4116,160.706
272626,2012-01-01T22:00:19,-0.161868,86.5824
272624,2012-01-01T22:00:19,-52.2157,139.012
272628,2012-01-01T22:00:19,27.7858,130.001
272627,2012-01-01T22:00:19,12.4202,90.369
272629,2012-01-01T22:00:19,47.5228,185.108
272625,2012-01-01T22:00:19,5.7763,70.8328
272631,2012-01-02T00:00:19,6.11913,71.0101
272630,2012-01-02T00:00:19,-52.8388,138.253
272633,2012-01-02T00:00:19,47.254,183.873
272632,2012-01-02T00:00:19,4.66062,88.4949
233127,2012-01-02T01:00:13,16.3397,81.0075
233123,2012-01-02T01:00:13,-17.1392,186.094
233116,2012-01-02T01:00:13,-46.161,87.0491
233117,2012-01-02T01:00:13,-50.6557,191.197
233118,2012-01-02T01:00:13,-45.5579,148.449
233119,2012-01-02T01:00:13,-31.19,186.282
233120,2012-01-02T01:00:13,-33.0146,81.534
233121,2012-01-02T01:00:13,-3.5145,130.857
233122,2012-01-02T01:00:13,-23.0739,107.639
233124,2012-01-02T01:00:13,-5.76641,54.1077
233125,2012-01-02T01:00:13,-4.1118,87.7158
233126,2012-01-02T01:00:13,2.22772,82.4293
233128,2012-01-02T01:00:13,39.3863,61.4027
233129,2012-01-02T01:00:13,39.0228,134.733
233130,2012-01-02T01:00:13,48.3135,184.163
233131,2012-01-02T01:00:13,56.1777,178.49
272637,2012-01-02T02:00:19,46.9517,184.95
272636,2012-01-02T02:00:19,5.14607,88.7012
272635,2012-01-02T02:00:19,5.59929,70.8643
272634,2012-01-02T02:00:19,-53.3528,137.74
272638,2012-01-02T04:00:19,-53.9842,136.917
272639,2012-01-02T04:00:19,5.78563,78.7336
272640,2012-01-02T04:00:19,46.6508,184.252
272641,2012-01-02T06:00:19,-54.4084,136.486
272642,2012-01-02T06:00:19,5.73618,78.895
272643,2012-01-02T06:00:19,46.4506,183.664
272644,2012-01-02T08:00:19,-55.0598,135.919
272645,2012-01-02T08:00:19,-45.9646,181.935
272646,2012-01-02T08:00:19,5.83985,79.6167
272647,2012-01-02T08:00:19,46.1702,184.701
272648,2012-01-02T10:00:19,-55.7,135.153
272649,2012-01-02T10:00:19,-45.6238,181.864
272650,2012-01-02T10:00:19,4.29541,70.3884
272651,2012-01-02T10:00:19,7.83989,89.3399
272652,2012-01-02T12:00:19,-58.2007,134.404
272653,2012-01-02T12:00:19,-46.512,178.058
272654,2012-01-02T12:00:19,-25.4642,161.852
272655,2012-01-02T12:00:19,3.01149,69.9893
272656,2012-01-02T12:00:19,6.03312,89.5153
272657,2012-01-02T12:00:19,47.0933,180.422
233140,2012-01-02T13:00:15,-6.3048,42.9939
233142,2012-01-02T13:00:15,15.1166,67.7044
233144,2012-01-02T13:00:15,55.3851,171.197
233143,2012-01-02T13:00:15,39.3207,51.1458
233132,2012-01-02T13:00:15,-51.9011,33.3599
233133,2012-01-02T13:00:15,-43.7898,81.7744
233134,2012-01-02T13:00:15,-44.6189,130.446
233135,2012-01-02T13:00:15,-46.3766,184.427
233136,2012-01-02T13:00:15,-2.40016,120.81
233137,2012-01-02T13:00:15,-31.1939,173.948
233138,2012-01-02T13:00:15,-24.2319,93.7197
233139,2012-01-02T13:00:15,-17.9754,176.458
233141,2012-01-02T13:00:15,-2.86762,71.3633
272661,2012-01-02T14:00:19,3.35894,70.3023
272663,2012-01-02T14:00:19,47.5697,179.335
272658,2012-01-02T14:00:19,-58.909,133.628
272659,2012-01-02T14:00:19,-45.9271,178.315
272660,2012-01-02T14:00:19,-25.4506,161.947
272662,2012-01-02T14:00:19,5.73596,89.7062
272666,2012-01-02T16:00:19,-25.6671,162.094
272667,2012-01-02T16:00:19,4.41266,70.5176
272664,2012-01-02T16:00:19,-57.822,133.862
272665,2012-01-02T16:00:19,-46.648,176.927
272668,2012-01-02T16:00:19,5.5796,89.8221
272669,2012-01-02T16:00:19,74.7399,26.6486
272673,2012-01-02T18:00:19,6.15895,89.7632
272674,2012-01-02T18:00:19,75.1275,22.6428
272672,2012-01-02T18:00:19,4.58053,70.6589
272670,2012-01-02T18:00:19,-59.3,132.63
272671,2012-01-02T18:00:19,-44.5715,179.491
272678,2012-01-02T20:00:19,-6.69994,42.1667
272676,2012-01-02T20:00:19,-38.5637,153.709
272679,2012-01-02T20:00:19,5.93727,89.6835
272675,2012-01-02T20:00:19,-62.4851,130.576
272677,2012-01-02T20:00:19,3.51049,70.3458
272683,2012-01-02T22:00:19,-6.22653,43.2107
272680,2012-01-02T22:00:19,-63.0427,130.376
272681,2012-01-02T22:00:19,-38.2645,154.918
272682,2012-01-02T22:00:19,3.65409,70.4698
272684,2012-01-02T22:00:19,6.0959,89.9289
272688,2012-01-03T00:00:19,-26.4406,170.432
272687,2012-01-03T00:00:19,-37.6147,155.268
272690,2012-01-03T00:00:19,-3.81998,46.8864
272691,2012-01-03T00:00:19,6.30898,90.074
272686,2012-01-03T00:00:19,-43.6954,144.875
272689,2012-01-03T00:00:19,3.97424,70.623
272685,2012-01-03T00:00:19,-63.5391,129.834
233146,2012-01-03T01:00:14,-48.2881,125.372
233147,2012-01-03T01:00:14,-45.9162,70.2048
233148,2012-01-03T01:00:14,-45.4879,103.513
233149,2012-01-03T01:00:14,-35.7058,164.186
233150,2012-01-03T01:00:14,-37.7606,129.567
233151,2012-01-03T01:00:14,-36.3446,47.9178
233152,2012-01-03T01:00:14,-1.38036,111.394
233153,2012-01-03T01:00:14,-25.5545,77.1967
233154,2012-01-03T01:00:14,-19.3949,166.092
233157,2012-01-03T01:00:14,39.8956,41.9377
233163,2012-01-03T01:00:14,44.6243,98.559
233162,2012-01-03T01:00:14,36.627,110.5
233161,2012-01-03T01:00:14,30.8772,173.255
233160,2012-01-03T01:00:14,26.3986,129.342
233156,2012-01-03T01:00:14,0.935149,56.5621
233159,2012-01-03T01:00:14,24.7424,175.606
233158,2012-01-03T01:00:14,14.6699,53.9036
233155,2012-01-03T01:00:14,-6.33341,30.7868
233145,2012-01-03T01:00:14,-51.3815,19.9934
272696,2012-01-03T02:00:19,-3.22763,47.9794
272697,2012-01-03T02:00:19,5.18568,89.5627
272692,2012-01-03T02:00:19,-63.1679,128.746
272693,2012-01-03T02:00:19,-26.6605,28.8922
272694,2012-01-03T02:00:19,-25.8356,170.501
272695,2012-01-03T02:00:19,3.86346,70.5813
272700,2012-01-03T04:00:19,3.78374,70.4145
272702,2012-01-03T04:00:19,5.75648,89.8555
272698,2012-01-03T04:00:19,-63.9505,128.374
272699,2012-01-03T04:00:19,-25.9874,169.934
272701,2012-01-03T04:00:19,-3.59603,48.0181
272707,2012-01-03T06:00:19,-9.10232,31.5746
272709,2012-01-03T06:00:19,5.91796,89.5633
272703,2012-01-03T06:00:19,-63.699,128.007
272704,2012-01-03T06:00:19,-26.2205,169.769
272705,2012-01-03T06:00:19,-24.4693,29.6885
272706,2012-01-03T06:00:19,3.29689,70.2889
272708,2012-01-03T06:00:19,-3.8334,47.3035
272712,2012-01-03T08:00:19,-26.193,169.266
272713,2012-01-03T08:00:19,3.11712,70.3141
272710,2012-01-03T08:00:19,-63.6334,127.259
272714,2012-01-03T08:00:19,-3.4514,47.6709
272715,2012-01-03T08:00:19,5.63644,90.1025
272711,2012-01-03T08:00:19,-26.0244,29.9437
272720,2012-01-03T10:00:19,-3.39319,47.7173
272718,2012-01-03T10:00:19,-26.6375,168.83
272716,2012-01-03T10:00:19,-64.2113,126.989
272717,2012-01-03T10:00:19,-25.7285,30.6048
272719,2012-01-03T10:00:19,3.45381,70.4661
272721,2012-01-03T10:00:19,5.37141,90.4196
272725,2012-01-03T12:00:19,2.60527,70.1878
272726,2012-01-03T12:00:19,-3.43515,47.9353
272724,2012-01-03T12:00:19,-25.2391,30.6296
272723,2012-01-03T12:00:19,-27.6079,169.456
272722,2012-01-03T12:00:19,-64.1903,126.102
272728,2012-01-03T12:00:19,38.7007,83.8816
272727,2012-01-03T12:00:19,5.42771,90.4179
233177,2012-01-03T13:00:13,0.0518606,44.4464
233164,2012-01-03T13:00:13,-51.1845,9.99839
233165,2012-01-03T13:00:13,-41.8241,114.108
233166,2012-01-03T13:00:13,-53.2168,148.333
233167,2012-01-03T13:00:13,-46.8533,69.3203
233168,2012-01-03T13:00:13,-49.6203,133.151
233169,2012-01-03T13:00:13,-38.9821,144.721
233170,2012-01-03T13:00:13,-36.8237,33.7744
233171,2012-01-03T13:00:13,-0.516165,101.713
233172,2012-01-03T13:00:13,-26.2104,64.0565
233173,2012-01-03T13:00:13,-20.2645,150.336
233174,2012-01-03T13:00:13,-7.09624,22.9329
233175,2012-01-03T13:00:13,-8.183,44.8721
233176,2012-01-03T13:00:13,-2.22634,2.99764
233178,2012-01-03T13:00:13,42.9188,34.4312
233179,2012-01-03T13:00:13,14.6039,40.8856
233180,2012-01-03T13:00:13,22.1392,122.622
233181,2012-01-03T13:00:13,29.6422,162.304
233182,2012-01-03T13:00:13,34.0129,109.257
233183,2012-01-03T13:00:13,40.4742,94.1081
272734,2012-01-03T14:00:19,-3.39409,47.8902
272733,2012-01-03T14:00:19,1.90091,70.0135
272729,2012-01-03T14:00:19,-63.2812,125.597
272732,2012-01-03T14:00:19,-24.7541,30.3662
272730,2012-01-03T14:00:19,-39.6007,161.762
272731,2012-01-03T14:00:19,-28.0093,169.202
272735,2012-01-03T14:00:19,5.10851,90.1607
